,filename,text_length,lexical_density,average_sentence_length,average_word_length,oov_word_counts,reading_ease,punctuation_count,type_token_ratio,asian_context_feature,asian_imp_word,non_asian_imp_word,noun_counts,verb_counts,adjective_counts,target_region
167,175113,248,0.5120967741935484,31.0,3.975806451612903,11,55.292580645161294,30,0.71,1,0,1,49,48,18,0
168,175343,260,0.5576923076923077,32.5,4.026923076923077,6,58.335961538461575,37,0.79,0,1,0,58,50,20,0
169,175494,145,0.593103448275862,24.166666666666668,4.86896551724138,5,34.69341954022991,20,0.8,0,0,0,39,31,8,0
170,176017,21,0.6190476190476191,21.0,5.0476190476190474,1,24.3771428571429,3,0.17,0,0,0,6,3,2,0
171,176532,49,0.4897959183673469,12.25,4.040816326530612,3,82.17676020408165,5,0.34,0,0,0,7,10,5,0
172,176883,33,0.6060606060606061,11.0,4.0606060606060606,1,75.17909090909093,5,0.27,0,0,0,9,6,4,0
173,177362,78,0.5641025641025641,19.5,4.0256410256410255,4,63.39634615384618,12,0.57,0,0,1,24,14,3,0
174,177394,165,0.49696969696969695,18.333333333333332,4.115151515151515,13,76.96484848484852,27,0.7,0,1,1,44,25,5,0
175,177513,101,0.6237623762376238,20.2,4.594059405940594,2,81.62902970297033,23,0.61,0,0,0,35,18,9,0
176,177577,63,0.6190476190476191,12.6,4.507936507936508,1,66.47457142857147,7,0.51,0,1,1,12,16,7,0
177,17827,155,0.5483870967741935,10.333333333333334,4.058064516129032,6,77.36086021505376,22,0.64,1,1,0,31,33,11,1
178,178512,12,0.8333333333333334,12.0,5.0,2,53.655,5,0.09,0,1,0,3,3,0,0
179,178535,36,0.6388888888888888,7.2,3.9166666666666665,2,89.07700000000003,6,0.28,0,0,1,9,5,7,0
180,180137,86,0.5581395348837209,86.0,3.5930232558139537,3,24.12406976744188,9,0.63,0,1,1,15,16,8,0
181,180443,46,0.6739130434782609,46.0,4.086956521739131,1,47.95804347826089,6,0.37,0,1,0,11,13,3,0
182,180721,214,0.6214953271028038,23.77777777777778,4.429906542056075,11,62.12578920041537,24,0.71,0,1,1,37,52,29,1
183,18109,148,0.5608108108108109,74.0,3.858108108108108,6,15.114189189189233,8,0.68,0,0,1,36,26,9,1
184,181497,277,0.5884476534296029,25.181818181818183,4.592057761732852,12,45.67112241549066,39,0.75,1,1,0,85,42,20,0
185,18244,37,0.6216216216216216,37.0,4.378378378378378,3,36.6637837837838,2,0.31,0,0,0,7,9,5,1
186,18248,80,0.65,7.2727272727272725,4.6875,3,54.57568181818186,14,0.58,0,0,1,18,19,6,1
187,182837,206,0.5776699029126213,25.75,4.339805825242719,12,62.01234223300973,30,0.79,0,0,0,54,38,17,0
188,18292,77,0.6233766233766234,9.625,4.8441558441558445,2,68.51757305194806,12,0.57,1,1,1,10,24,9,0
189,183124,242,0.6074380165289256,20.166666666666668,4.012396694214876,11,66.80715564738294,27,0.83,0,1,0,50,48,17,1
190,183451,64,0.53125,64.0,3.296875,2,38.76875000000001,0,0.32,0,0,0,13,14,2,0
191,184220,72,0.5138888888888888,18.0,3.763888888888889,2,80.46500000000002,10,0.52,0,0,1,18,10,6,0
192,184625,115,0.6260869565217392,19.166666666666668,4.4,6,54.22778985507247,6,0.71,0,1,0,28,29,11,1
193,184776,283,0.5901060070671378,35.375,3.9964664310954063,24,63.908880300353374,25,0.67,0,1,0,70,60,17,0
194,184979,8,0.5,8.0,3.625,1,114.11500000000001,1,0.08,0,0,0,2,0,0,0
195,185019,68,0.6764705882352942,68.0,4.294117647058823,0,0.9620588235294179,2,0.47,0,0,0,18,13,10,0
196,185028,16,0.625,5.333333333333333,3.9375,1,95.67166666666668,5,0.11,0,0,0,2,5,0,1
197,185137,31,0.6451612903225806,10.333333333333334,4.064516129032258,3,89.91440860215054,3,0.23,0,0,0,9,8,2,1
198,185241,101,0.5247524752475248,16.833333333333332,3.5841584158415842,0,84.20857260726073,8,0.63,0,0,1,18,20,5,1
199,185256,354,0.6214689265536724,70.8,4.731638418079096,36,-16.064288135593188,53,0.76,0,1,1,136,43,27,0
200,185356,10,1.0,5.0,5.4,6,-26.659999999999968,1,0.11,0,0,0,10,0,0,0
201,186103,7,1.0,7.0,5.285714285714286,2,6.35857142857148,1,0.06,0,0,0,7,0,0,0
202,186176,30,0.7666666666666667,10.0,4.3,3,89.52500000000002,6,0.27,0,0,0,9,7,3,0
203,186253,208,0.6009615384615384,26.0,4.019230769230769,16,69.8142307692308,36,0.7,0,0,1,54,41,13,0
204,186760,84,0.5595238095238095,84.0,4.5,3,-7.339285714285694,9,0.58,0,1,1,19,17,3,0
205,187181,70,0.6142857142857143,70.0,4.3428571428571425,1,2.8421428571429033,2,0.45,1,0,1,19,14,7,1
206,187557,199,0.6180904522613065,39.8,4.592964824120603,15,31.673175879397007,14,0.71,0,1,0,49,41,14,0
207,187775,155,0.6387096774193548,31.0,4.038709677419355,15,49.83451612903227,20,0.66,1,1,0,43,37,12,0
208,187820,46,0.5434782608695652,46.0,4.586956521739131,2,13.014565217391322,6,0.36,0,1,0,13,5,2,0
209,188057,76,0.6578947368421053,25.333333333333332,4.7894736842105265,8,24.166403508771936,5,0.57,0,0,0,21,14,13,1
210,188074,9,0.4444444444444444,3.0,3.0,0,109.79000000000002,3,0.08,0,0,0,1,3,0,0
211,188301,24,0.75,8.0,3.9166666666666665,0,85.91500000000002,7,0.2,0,1,0,4,10,1,0
212,188737,5,0.8,5.0,4.6,1,83.32000000000004,0,0.05,0,1,0,1,2,1,0
213,189314,64,0.5,12.8,3.84375,3,86.77112500000003,10,0.49,0,1,0,12,12,3,0
214,190029,2,1.0,2.0,5.5,0,-6.694999999999993,0,0.02,0,0,0,2,0,0,0
215,190119,105,0.5904761904761905,13.125,3.8095238095238093,4,89.57598214285714,13,0.75,0,1,1,20,25,8,0
216,19020,359,0.6044568245125348,25.642857142857142,5.069637883008356,33,19.619756267409485,68,0.74,0,1,1,107,52,40,0
217,190271,47,0.6808510638297872,15.666666666666666,4.148936170212766,1,45.133333333333354,4,0.33,0,0,0,22,7,3,0
218,19050,85,0.5882352941176471,17.0,4.576470588235294,9,56.21058823529415,11,0.61,0,1,1,25,16,8,1
219,190783,49,0.5510204081632653,12.25,4.020408163265306,2,92.53594387755103,5,0.37,0,1,1,9,13,2,0
220,191475,165,0.5454545454545454,16.5,4.96969696969697,14,50.112954545454556,18,0.78,0,1,1,40,25,13,0
221,191624,15,0.4666666666666667,15.0,4.2,1,84.45000000000003,2,0.14,0,0,0,3,3,1,0
222,191722,64,0.640625,16.0,4.6875,3,42.545000000000016,5,0.52,1,0,1,16,10,10,0
223,192464,76,0.47368421052631576,76.0,4.118421052631579,3,7.2476315789473915,7,0.52,0,0,0,18,11,5,0
224,19287,50,0.58,7.142857142857143,3.7,2,82.83700000000003,10,0.39,0,1,0,5,12,6,0
225,193249,26,0.7307692307692307,13.0,4.423076923076923,1,53.72461538461542,2,0.2,1,1,0,5,9,4,1
226,193340,176,0.5738636363636364,12.571428571428571,4.1022727272727275,16,86.88295454545457,24,0.8,1,1,1,42,35,16,0
227,193488,162,0.5555555555555556,14.727272727272727,4.030864197530864,6,72.82015151515154,19,0.73,0,0,0,31,30,15,0
228,193529,74,0.581081081081081,14.8,4.1891891891891895,2,54.623810810810824,12,0.52,1,1,0,17,19,4,0
229,194059,44,0.5454545454545454,44.0,4.045454545454546,3,52.57954545454548,4,0.36,0,1,0,8,10,4,0
230,194195,20,0.7,20.0,3.8,2,68.09500000000004,1,0.18,0,1,1,8,3,2,0
231,195214,20,0.6,20.0,4.05,1,59.63500000000003,3,0.16,0,0,0,6,5,0,0
232,195295,85,0.5411764705882353,28.333333333333332,4.105882352941176,5,60.63196078431375,13,0.65,0,1,0,15,20,5,0
233,195327,47,0.46808510638297873,23.5,3.297872340425532,0,76.78250000000003,7,0.33,0,1,0,5,11,6,0
234,195662,106,0.5660377358490566,10.6,4.660377358490566,4,70.77222641509437,12,0.74,1,0,0,23,18,13,1
